taxa,PC1,PC2,PC3
N18047,17.0382622205088,-2.07494841712606,-2.38712100740074
N18048,16.8706817841127,-2.29945629506882,-2.2278248044692
N18049,17.0833046926386,-3.57819155450344,1.07668633272887
N18050,11.2629264849785,-1.4941166434566,2.49757755017683
N18051,9.8272057040285,-1.36133153445098,1.72550769951086
N18053,10.0224995481416,-1.37898643680923,1.75519386676381
N18055,9.18597612326141,2.70952896643487,-1.06630621676596
N19001,13.5526059342585,-4.89414606330777,0.231219515547451
N19002,3.41450713180352,0.550196030636439,-1.22046255799927
N19003,-11.7927443141328,7.50087120113941,1.05236257798377
N19004,3.93509912157849,0.637233067803211,-2.36166074700364
N19005,6.00826839137389,-1.51391871924378,-2.00936361348437
N19006,4.51749534188202,-1.6871328753191,-1.3523533113166
N19007,3.9100612335502,0.853429934280073,-1.9484826045348
N19008,17.0341615731126,-2.32367121772923,1.38632405684971
N19009,17.0137089989004,-3.04153375884194,2.52278142472153
N19010,17.4655776155858,-3.37148835989443,1.2107106852611
N19011,18.0507349706575,-1.77012470148793,-0.500420463773035
N19012,16.107592057083,-4.39738030332077,0.786533071164838
N19013,16.2780864505564,-0.733145529786669,-3.00064599570097
N19014,13.6655082476925,-0.641935462727882,-1.95030526262265
N19015,13.3744390380493,-0.358758070243835,-1.57368161237601
N19016,13.0724370350716,-0.227489362337233,-1.52094360791674
N19017,19.0484455483082,-3.10681000103169,-1.12080475016172
N19018,19.1537422668102,-3.07054200026203,-1.31861791728129
N19019,18.9604742112056,-3.09173210619537,-1.08631709188705
N19020,13.9876425625367,-1.53374357290221,0.541350653277396
N19021,12.3355119793877,-0.169327551380162,1.10945418497222
N19022,6.54572556869653,0.640563956885873,0.338605612971607
N19023,17.6568099120883,-2.10722216328293,-0.779951253872995
N19024,17.8163949586882,-2.11852851481389,-0.963795322101542
N19025,17.9664389155839,-2.21457961028135,-0.855225466173752
N19026,18.1935780865213,-2.46960279361825,-1.03738630194308
N19027,18.1250018924585,-2.34712183677692,-0.987812868761049
N19028,17.9229109805221,-2.18782887436789,-0.931120766179457
N19029,17.2860154900652,-2.14870951963203,-2.4745332262565
N19030,17.4136552270972,-2.43198618463431,-2.61470769183642
N19031,15.3508761245371,-1.12748814242357,-3.52575163875629
N19032,20.1823631386115,-2.99062688134767,-1.39811910481474
N19033,20.4504840115712,-3.03121506396099,-1.39452847786909
N19034,20.1985637607176,-2.84023842327667,-1.31282409055584
N19035,17.9863857126516,-2.46473247057416,-1.01355446917898
N19036,20.0685944358885,-3.18794148686088,-1.05252395346083
N19037,19.9835666582526,-3.4276750919719,-1.34156990431391
N19038,20.1049252986379,-3.29354431844909,-1.01281146636616
N19039,20.2395604111799,-3.37135630413,-1.3005729171519
N19040,20.3762756356457,-2.87229440066125,-1.51765017003291
N19041,20.2672479755363,-2.968561969074,-1.31395358926302
N19042,14.4657002195806,-0.744450212347522,-3.46316518161768
N19043,14.276139229943,-0.488326261560858,-3.4349461714142
N19044,14.6428376873065,-1.03445346616499,-2.36410889936417
N19045,15.6946705901452,-1.09995234478959,-3.39037253851335
N19046,15.0040201016127,-0.920347610936492,-3.4870859185307
N19047,10.1198367270254,0.825470134560375,-4.56761314141434
N19048,15.5651998790937,-0.405862586981182,-3.82528821022954
N19049,18.9126274276982,-1.95565691687004,-3.00431373471746
N19050,17.5134623632468,-1.44895206475605,-1.34448000965661
N21001,10.4252975359161,0.102691830740265,-0.739783912311986
N21002,17.3474661065647,-2.94349499357399,-0.306045331883191
N21003,17.2301714749917,-2.90467471771087,-0.744947805718512
N21004,13.4620295795423,-1.17606599012239,1.6211967950227
N21005,15.6153145225133,-2.06402974910596,-0.333170143392097
N21006,15.8773389018746,-3.10809079854018,-0.491853575059428
N21007,4.65485940841402,2.45140764717058,1.43034809479552
N21008,9.3819028448078,0.383912745896244,1.93509580454541
N21009,12.89504325672,-4.47968875356647,0.0200424936048971
N21010,17.3419621003261,-2.936576734695,0.362634560818164
N21011,16.0465165337337,-2.86865394391433,0.52017749265452
N21012,18.0744959904958,-1.98816576641246,-2.23612212746036
N21013,16.2549378083892,-1.89572612153816,-1.59674885039491
N21014,13.1235770006293,-0.164312211987551,-1.2313934504642
N21015,17.91158549536,-2.35956189589036,-0.889473809013404
N21016,2.99548490322199,4.62005593523406,1.01522566457981
N21017,2.38512912412999,4.84049060661015,-0.882037287384946
N21018,11.6235059893519,0.27534407266059,-1.26050694787295
N21019,8.52070205939481,1.30978722110306,-3.23093628767716
N21020,10.2925677991732,1.61145731789665,-1.57336151088601
N21021,8.54122416088275,0.969475940332781,-1.93137367493824
N21022,11.2396887478675,0.0346988181887927,-0.914430839855124
N21023,16.5974869594159,-3.24475308731066,0.595141003066024
N21024,16.1333868416518,-3.26412687827704,0.0323768663921276
N21025,17.0824735774224,-4.15498645711936,2.3824439111977
N21026,17.0364412169759,-3.98264103080191,2.27437408564045
N21027,17.6392539951776,-4.3830946464541,1.89117655861931
N21028,17.6364475540942,-4.19131585802194,1.90583694929207
N21029,17.6644079347845,-4.12961698815844,1.87223888544644
N21030,17.7775406652089,-4.22767433486638,1.92278768682187
N21031,15.2460103530247,-3.21454629130132,2.19603350297284
N21032,16.2869900789418,-3.230165415763,1.74173412395441
N21033,15.1450264808744,-0.735657928223676,-3.63923453848685
N21034,9.56536508157412,-5.74303177397443,5.17194580689361
N21035,17.1361259549426,-4.08284439947185,2.34985520527253
N21036,17.3125396619332,-4.25087518131228,2.14840722894278
N21037,16.116137946611,-2.10547852807297,-1.38821581274984
N21038,9.86830447750471,-4.00453971321484,7.38024450097694
N21039,10.8914645058652,-4.202542636402,6.04431140505452
N21040,9.2917618615929,-4.12421066617805,7.5797423566676
N21041,11.1702001048972,-4.43554129590712,4.63819768396275
N21042,11.2102572534178,-4.15185965877578,4.38860688900578
N21043,10.3595337060696,-1.72758869268091,4.41131320963395
N21044,9.11874213575914,-2.4740423392761,4.83633759217813
N96076L,-22.8800485993976,11.1279809969533,-6.57091978798446
NC20,20.4155384213014,-2.95203637658148,-1.39936099275897
NCV11,-16.4464068739912,11.0176800172042,2.29350965276715
PI497429,-31.5511036062521,15.0998046665068,-3.90770198460939
PI576636,-24.1347830949411,-3.65708250765355,9.49055225504869
Perry,7.45833276140248,0.295042768355733,-0.178111707525323
SPT0701,-24.112310545943,-3.68026974247347,9.35252292636374
SPT1012ol,-4.81702271701226,2.57506355748171,-8.13255235300658
Sullivan,18.1354569953476,-2.01905549109638,-2.36452717230862
Tifguard,-29.5320361760526,23.0214517018982,-5.00720261637078
Walton,-24.4528784706204,21.3511077023341,1.18824802158396
Wynne,17.8259625248284,-2.52359706291198,1.26427035386428
