taxa,PC1,PC2
20IL1,-9.92156534021002,3.48393476756751
20IL10,37.6907016219732,4.46173635012658
20IL13,35.5531257892126,2.89438232793795
20IL16,40.7616328664488,0.862023859635032
20IL17,40.8131951777593,0.966460459543895
20IL18,-29.1439980621076,38.8913021468154
20IL19,34.5629807474144,6.62398224731959
20IL2,29.8090326569306,0.316441541888844
20IL22,32.4987593584585,5.37023090099013
20IL24,0.255786406696878,13.8508253669443
20IL25,-15.5573742684062,-23.3845035425059
20IL26,-28.9610326891299,39.6010224297181
20IL27,-28.0173356198311,39.049543861914
20IL29,13.7314217767636,-6.44563820053965
20IL3,32.6520388720518,0.824832029434082
20IL30,36.352824847238,3.245481889779
20IL31,-13.0097391833813,-3.81767236315455
20IL32,42.7184310474929,4.59465449729574
20IL33,39.7646660676116,4.55993096782686
20IL4,32.1095301326559,1.19564395462885
20IL5,-29.3925911755938,39.2690927097172
20IL6,28.8620937761569,0.821948132544907
20IL7,-29.4222908377155,39.4552861341356
20IL8,34.8793594595394,3.40539186758941
20IL9,40.9953950816819,0.666245774088834
HTS1602,-27.1641776779021,-16.7487358728654
HTS1603,-18.0897750845885,-14.6311414364137
HTS1604,-19.3347680269915,-9.98168861927551
HTS1605,-13.9949055876418,-21.4568758046509
HTS1606,-15.7846132475683,-14.1067364818444
HTS2002,-18.673436825749,-7.2811961869729
HTS2003,-16.1280091422234,-9.76809315895998
HTS2004,-18.8869730418248,-4.06815930016283
HTS2005,-19.9810487736645,-13.7118834973353
HTS2006,-16.6080103513744,4.93110704583935
HTS2001,-10.8116323826335,-11.0450992908509
HTSIL02,40.5970051365542,0.89772067424665
HTSIL09,13.3623726326353,7.1508509901984
HTSIL10,11.6279835237602,-0.313080335050016
HTSIL13,10.7831152055872,1.81025156602655
HTSIL16,-14.9361918833167,-23.3352315361379
HTSIL19,26.3270334189638,4.34634149191708
HTSIL21,7.01088628777873,2.05442469600133
HTSIL25,-24.5507098369774,7.22785838574319
HTSIL28,-23.234358004028,26.7962976698722
HTSIL29,-13.9746486467757,-11.8646926293724
HTSIL30,-3.45194446577085,-8.91958005689189
HTSIL33,-19.7768596831008,4.87854707554112
HTSIL34,-17.4707813166236,-2.25777882697656
HTSIL37,-18.619932042997,-17.1626062637888
HTSIL39,-31.5899827096674,26.5695738222031
HTSIL40,-15.5314557778781,-17.0371524513118
HTSIL41,-20.4999086980881,-10.859946684194
HTSIL43,40.0470583202918,0.727467757960734
HTSIL44,-25.8801867120435,0.040398043346145
HTSIL46,-13.707780912181,-8.76602764334331
HTSIL47,-12.4271122886752,-13.3597689839715
HTSIL50,-14.1428795982513,-6.53385763114727
HTSIL51,-24.0240870275897,-13.4690780657178
HTSIL52,-21.9822510917316,-14.6884922446181
HTSIL53,-19.0060888906717,-4.56936382036852
HTSIL54,40.0964102069146,1.07824363436993
HTSIL55,-23.3349775367279,-6.55153491219641
HTSIL56,-1.52158076633068,-5.09918454602834
HTSIL59,-8.34716574335043,-1.59871740549847
HTSIL65,-25.8345538389452,10.9920544159856
HTSIL66,-25.2856466929852,25.003078825448
HTSIL67,-15.5676681776831,-15.8091607138199
HTSIL68,-22.4150246612598,17.1566304185077
HTSIL71,9.96047906214868,0.625806851107254
HTSIL72,30.7081678539974,3.5926442266055
HTSIL74,30.1094613345456,3.52931547013188
HTSIL76,21.4491679339037,-5.69434182637618
HTSIL77,-13.8699731019693,-22.056164162351
HTSIL84,40.4723194916226,0.823150121371126
HTSIL88,-22.61411289156,-2.85906042014667
HTSIL22,14.1968051087176,3.14830828019939
HTSIL38,-18.4817891752753,-17.3138631223335
HTSIL49,-22.3006879228052,-14.4562279908046
HTSIL58,-13.8353970086976,-12.1246146708304
HTSIL73,36.3397732189962,5.35648501874276
